,Star Name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.5650893366640996e+121,2.342545383222801e+35,274.2691614595739
1,Sirius,0008.6,3.2866876069946095e+121,4.00575260531099e+35,196.971799550325
2,Canopus,0310,2.3476340049961494e+122,1.6632072220881888e+37,0.8161153386021839
3,Alpha Centauri,0004.4,1.7215982703305098e+121,2.811054459867361e+35,209.51116500384123
4,Arcturus,0037,1.7215982703305098e+121,6.090617996379282e+36,0.44629597278924754
5,Vega,0025,3.4431965406610197e+121,6.324872534701564e+35,82.76984296448046
6,Capella,0043,4.0692322753266595e+121,2.811054459867361e+36,4.952082081908975
7,Rigel,0860,3.599705474327429e+122,1.8482683073627902e+37,1.01332978543217
8,Procyon,0011.4,2.3476340049961497e+121,4.450836228123322e+35,113.9622554541166
9,Betelgeuse,0640[1],3.1301786733281995e+122,2.225418114061661e+38,0.006077986957552885
10,Achernar,0144,1.0486098555649467e+122,2.178567206397205e+36,21.2464259657665
11,Hadar,0390,1.6433438034973045e+122,2.014589029571609e+36,38.937617567949246
12,Altair,0017,2.81716080599538e+121,4.216581689801042e+35,152.37175636642996
13,Acrux,0320,2.8171608059953794e+122,2.0848653910682928e+36,62.326030883377484
14,Aldebaran,0065,2.3476340049961497e+121,1.0307199686180325e+37,0.21250193294905007
15,Antares,0600,1.8781072039969197e+122,1.5929308605915048e+38,0.0071177118025840995
16,Spica,0260,1.7888971118070657e+122,1.7498814012674324e+36,56.18003500809
17,Pollux,0034,2.9736697396617895e+121,2.061439937236065e+36,6.729227876719916
18,Fomalhaut,0025,2.9736697396617895e+121,4.216581689801042e+35,160.8368539423427
19,Deneb,"2,600",2.9736697396617894e+122,4.755367127942287e+37,0.12645572733460908
20,Mimosa,0350,2.5041429386625594e+122,1.967738121907153e+36,62.19255361895101
21,Regulus,0077,5.947339479323579e+121,7.261890687990682e+35,108.45190567600218
22,Adhara,0430,1.956361670830125e+122,3.2795635365119214e+36,17.491655705329972
23,Shaula,0700,2.2693795381629446e+122,2.061439937236065e+36,51.354633796020416
24,Castor,0052,4.382250142659479e+121,5.622108919734722e+35,133.3252868206262
