,Star Name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,7.868724668999999e+90,3.36717749493e+26,274.2691614595739
1,Sirius,0008.6,1.65243218049e+91,5.7578735163303e+26,196.971799550325
2,Canopus,0310,1.1803087003499998e+92,2.3906960214003e+28,0.8161153386021839
3,Alpha Centauri,0004.4,8.6555971359e+90,4.040612993916e+26,209.51116500384123
4,Arcturus,0037,8.6555971359e+90,8.754661486818e+27,0.44629597278924754
5,Vega,0025,1.73111942718e+91,9.091379236311001e+26,82.76984296448046
6,Capella,0043,2.04586841394e+91,4.040612993916e+27,4.952082081908975
7,Rigel,0860,1.8098066738699996e+92,2.6567030434997703e+28,1.01332978543217
8,Procyon,0011.4,1.18030870035e+91,6.397637240367e+26,113.9622554541166
9,Betelgeuse,0640[1],1.5737449338e+92,3.1988186201835e+29,0.006077986957552885
10,Achernar,0144,5.272045528229999e+91,3.1314750702849004e+27,21.2464259657665
11,Hadar,0390,8.262160902449998e+91,2.8957726456398e+27,38.937617567949246
12,Altair,0017,1.41637044042e+91,6.060919490874e+26,152.37175636642996
13,Acrux,0320,1.41637044042e+92,2.9967879704877e+27,62.326030883377484
14,Aldebaran,0065,1.18030870035e+91,1.4815580977692e+28,0.21250193294905007
15,Antares,0600,9.4424696028e+91,2.2896806965524002e+29,0.0071177118025840995
16,Spica,0260,8.993952296666998e+91,2.51528158871271e+27,56.18003500809
17,Pollux,0034,1.4950576871099998e+91,2.9631161955384e+27,6.729227876719916
18,Fomalhaut,0025,1.4950576871099998e+91,6.060919490874e+26,160.8368539423427
19,Deneb,"2,600",1.49505768711e+92,6.835370314707901e+28,0.12645572733460908
20,Mimosa,0350,1.2589959470399999e+92,2.8284290957412e+27,62.19255361895101
21,Regulus,0077,2.9901153742199996e+91,1.0438250234283e+27,108.45190567600218
22,Adhara,0430,9.83590583625e+91,4.714048492902e+27,17.491655705329972
23,Shaula,0700,1.1409650770049998e+92,2.9631161955384e+27,51.354633796020416
24,Castor,0052,2.2032429073199995e+91,8.081225987832e+26,133.3252868206262
25,Gacrux,0088,1.18030870035e+91,2.8284290957412e+28,0.058305519017766566
26,Bellatrix,0240,6.767103215339998e+91,1.9529629470594e+27,70.11637302474244
27,Elnath,0130,3.9343623345e+91,1.4142145478706e+27,77.74069202368877
28,Miaplacidus,0110,2.75405363415e+91,2.2896806965524e+27,20.759992757536956
29,Alnilam,"2,000",2.5179918940799997e+92,1.4142145478706e+28,4.975404289516081
30,Gamma Velorum,"01,100",7.0818522021e+91,2.020306496958e+27,68.56729036489348
31,Alnair,0101,3.1474898675999996e+91,1.1448403482762e+27,94.90282403445465
32,Alioth,0081,2.28193015401e+91,1.4142145478706e+27,45.08960137373948
33,Alnitak,01050,2.5966791407699997e+92,6.73435498986e+27,22.627205820414854
34,Dubhe,0120,3.344207984324999e+91,1.010153248479e+28,1.2951599291146547
35,Mirfak,0590,6.688415968649998e+91,2.2896806965524e+28,0.5041712526830403
36,Wezen,"1,600",1.3376831937299996e+92,6.734354989859999e+28,0.11656439362031894
37,Sargas,0270,4.48517306133e+91,8.754661486818e+27,2.3126245862715553
38,Kaus Australis,0140,2.75405363415e+91,2.2896806965524e+27,20.759992757536956
39,Avior,0630,7.0818522021e+91,4.377330743409e+28,0.14606050018557193
40,Alkaid,0104,4.799922048089999e+91,1.1448403482762e+27,144.72680665254333
41,Menkalinan,081,1.880625195891e+91,9.3270816609561e+26,85.43097080483021
42,Atria,0390,5.5081072683e+91,3.0978032953356e+28,0.22682941046987445
43,Alhena,0109,2.2032429073199995e+91,1.1111685733269e+27,70.51915997124031
44,Peacock,0180,4.64254755471e+91,1.6162451975664e+27,70.23385645015132
45,Alsephina[2],0080,1.88849392056e+91,9.764814735297e+26,78.26943965552645
46,Mirzam,0500,1.062277830315e+92,3.36717749493e+27,37.02633679704249
47,Polaris,0430,4.24911132126e+91,1.3131992230227e+28,0.973736667903813
48,Alphard,0180,2.3606174007e+91,1.6835887474649998e+28,0.32912299375148873
49,Mintaka,01200,1.88849392056e+92,5.5558428666345e+27,24.17799770442525
50,Scheat,0196,1.65243218049e+91,3.1988186201835003e+28,0.0638188630543053
51,Almaaz,0653,1.1803087003499998e+92,4.714048492902e+28,0.20989986846395964
52,Rasalgethi,0360,2.2032429073199995e+91,9.428096985804e+28,0.009795327194984781
53,Tau Ceti,011.9,6.161211415826999e+90,3.00688950297249e+26,269.29967110479345
54,Delta Pavonis,019.92,7.797906146978998e+90,4.1079565438146e+26,182.61269753187165
55,Ran,010.48,6.452354228579999e+90,2.4917113462482e+26,410.70254272616984
56,V382 Carinae,"08,900",1.5737449338e+92,1.63308108504105e+29,0.023319728894426524
57,Eta Carinae,"07,500",7.868724669e+92,2.96648337303333e+29,0.035336632665075154
58,Delta Cephei,0887,3.54092610105e+91,1.49839398524385e+28,0.6232603088337749
59,Mu Cephei,"06,000",1.510795136448e+92,3.2728965250719596e+29,0.005573726798954914
60,Titawin,044.25,9.993280329629998e+90,4.9834226924964e+26,159.02202111653529
61,Rho Cassiopeiae,"08,154",1.73111942718e+92,3.30320112252633e+29,0.006269914878211634
62,P Cygni,"05,545",2.3606174006999997e+92,2.5590548961468e+28,1.4245281931764575
63,VV Cephei,"04,900",1.432107889758e+92,3.5355363696765e+29,0.004527617903459634
64,61 Cygni,011.41,5.508107268299999e+90,2.23917303412845e+26,434.14192553949175
65,R Doradus,0178,7.868724668999999e+90,1.00341889348914e+29,0.0030884775624923874
66,Polaris Australis,0281,1.2511272223709997e+91,1.25932438310382e+27,31.176754176608036
67,R Coronae Borealis,"04,566",6.688415968649999e+90,2.8621008706905003e+28,0.032266960171714584
68,54 Piscium,036.1,5.980230748439999e+90,3.1651468452342e+26,235.9037604224493
69,Mira,0300,9.4424696028e+90,1.2458556731241002e+29,0.00240411244522636
70,RW Cephei,"014,000",1.093752728991e+92,3.8991915391289396e+29,0.0028429856016179986
71,Lacaille 8760,012.87,4.7212348014e+90,1.7172605224143e+26,632.685493563031
72,V838 Monocerotis,"019,896",?,1.57247189013231e+29,632.685493563031
73,HD 140283,0190,?,4.714048492901999e+26,632.685493563031
74,II Pegasi,0130,6.2949797352e+90,1.1448403482762e+27,18.98056480689093
75,VY Canis Majoris,"03,900",1.3376831937299996e+92,4.7813920428006e+29,0.0023123267927061875
76,Pistol Star,"025,000",7.868724669e+92,1.0774967983776e+29,0.2678409779878652
77,S Doradus,"0169,000",1.88849392056e+92,1.2795274480734001e+29,0.04558490218164664
78,UY Scuti,"05,100",7.868724669e+91,2.54221900867215e+29,0.004811528642771352
79,Barnard's Star,05.98,1.10162145366e+90,6.73435498986e+25,959.9420651085089
80,Luhman 16,06.52,3.1474898676e+89,?,959.9420651085089
81,Proxima Centauri,04.25,9.442469602799999e+89,5.050766242395e+25,1462.7688611177277
82,KIC 8462852,"01,470",1.1252276276669997e+91,5.3201404419894e+26,157.10819615734286
83,R136a1,"0163,000",2.2819301540099994e+93,1.0774967983776e+28,77.67388361648091
84,Melnick 42,"0163,000",1.4871889624409996e+93,7.104744514302301e+27,116.4324060911917
85,WR 102,"018,134",1.49505768711e+92,1.3131992230227e+26,34261.104981800825
86,VFTS 352,"0164,000",4.5229429397411984e+92,4.87230583516371e+27,75.29335961731135
87,YBP 1194,"02,772",7.9474119156899995e+90,3.3335057199807e+26,282.6363157577489
88,Gliese 1214,047.5,1.25899594704e+90,7.071072739353e+25,995.0808579032163
89,NML Cygni,"05,251",3.9343623345e+92,5.5221710916852e+29,0.005098697974783871
90,VB 10,018.72,5.90154350175e+89,3.36717749493e+25,2057.0187109468043
91,WOH G64,"0163,000",1.96718116725e+92,5.8252170662289e+29,0.002290998374983912
92,TRAPPIST-1,039.6,7.003164955409999e+89,4.040612993916e+25,1695.1357895765334
93,2MASS J0523-1403,040.3,5.5081072683e+89,2.8957726456397993e+25,2595.841171196618
94,WISE 0855ÃƒÂ¢Ã‹â€ Ã¢â‚¬â„¢0714,07.27,2.3606174007e+88,?,2595.841171196618
95,Icarus,"014,400,000,000",2.5966791407699997e+92,?,2595.841171196618
96,SDSS J000013.54+255418.6Ãƒâ€šÃ‚Â [de],46.1,3.77698784112e+92,3.3335057199807e+26,13432.220946902917
97,2MASS J00040288-6410358,192,1.49505768711e+92,5.4884993167359e+26,1961.3512242583106
98,2MASS J00242463-0158201,37.7,6.216292488509999e+92,3.6702234694737e+26,18236.90241167102
99,2MASS J00274197+0503417,236,2.4393046473899994e+92,4.8487355926992e+26,4100.281638332751
100,2MASSW J0030300-145033,87.2,4.24911132126e+92,3.2998339450314e+26,15421.214825923567
101,2MASS J00332386-1521309Ãƒâ€šÃ‚Â [de],131,2.2819301540099997e+92,4.8150638177499e+26,3889.5817312962217
102,2MASS J00345157+0523050,31,3.304864360979999e+92,3.1651468452342e+26,13036.786760187986
103,2MASS 0036+1821,28.6,3.304864360979999e+92,3.1651468452342e+26,13036.786760187986
104,2MASSW J0045214+163445,57,1.8098066738699996e+92,5.4548275417866e+26,2403.6696820493066
105,WISEP J004701.06+680352.1Ãƒâ€šÃ‚Â [fr],40,9.4424696028e+91,4.377330743409e+26,1947.4733358076255
106,2MASS J00501994-3322402Ãƒâ€šÃ‚Â [de],34,3.1474898676e+92,3.1651468452342e+26,12415.987390655226
107,2MASS J00584253-0651239Ãƒâ€šÃ‚Â [de],96,2.2819301540099997e+92,4.8150638177499e+26,3889.5817312962217
108,2MASSI J0103320+193536,70,4.09173682788e+92,3.2998339450314e+26,14850.058721259731
109,SDSSp J010752.33+004156.1Ãƒâ€šÃ‚Â [de],51,4.09173682788e+92,3.2998339450314e+26,14850.058721259731
110,2MASSI J0117474-340325Ãƒâ€šÃ‚Â [de],163,1.5737449338e+92,5.4548275417866e+26,2090.147549608093
111,2MASS J01415823-4633574Ãƒâ€šÃ‚Â [de],130,1.5737449338e+92,5.4211557668373e+26,2116.192750739354
112,SDSS J015141.69+124429.6,70,3.6983005944299996e+92,3.2661621700821e+26,13700.340725475582
113,SDSS J020742.48+000056.2Ãƒâ€šÃ‚Â [de],111,3.6983005944299996e+92,3.2661621700821e+26,13700.340725475582
114,2MASS J02103857-3015313,101,1.1803087003499998e+92,5.1517815672429e+26,1757.459704341753
115,2MASS J02340093-6442068,155,1.5737449338e+92,5.4548275417866e+26,2090.147549608093
116,2MASS J02411151-0326587Ãƒâ€šÃ‚Â [de],152,2.12455566063e+92,4.7477202678513e+26,3724.7962171965683
117,2MASS J02431371ÃƒÂ¢Ã‹â€ Ã¢â‚¬â„¢2453298,35,2.5966791407699997e+92,3.3335057199807e+26,9234.651900995756
118,LP 771-21,53,6.137605241819999e+92,3.6365516945244e+26,18341.044747811015
119,Teegarden's star,12.578,6.2949797352e+92,4.2763154185611e+26,13603.7776159501
120,2MASS J02535980+3206373,184,5.114671034849999e+92,6.397637240367e+26,4938.364403011719
121,WISE J0254+0223,24,5.114671034849999e+92,6.397637240367e+26,4938.364403011719
122,DEN 0255-4700,16.2,6.2949797352e+92,3.2661621700821e+26,23319.728894426524
123,2MASS J03185403-3421292Ãƒâ€šÃ‚Â [de],45,3.8556750878099996e+92,3.2661621700821e+26,14283.333947836245
124,2MASS J03205965+1854233,47,6.92447770872e+92,3.8722541191694995e+26,18250.04628237619
125,2MASS J03231002-4631237,192,1.8098066738699996e+92,5.5895146415838e+26,2289.2258359595735
126,SDSS J032553.17+042540.1,59,3.5409261010499995e+92,3.1988186201835e+26,13675.470654493993
127,2MASS J03264225-2102057Ãƒâ€šÃ‚Â [de],80,1.41637044042e+92,4.377330743409e+26,2921.2100037114383
128,2MASS J03284265+2302051Ãƒâ€šÃ‚Â [de],98,4.24911132126e+92,3.2998339450314e+26,15421.214825923567
129,2MASS J03341218-4953322,27.0,5.74416900837e+92,3.5018645947272e+26,18511.13978046311
130,LP 944-20,20.9,5.74416900837e+92,4.8150638177499e+26,9791.016082228422
131,2MASP J0345432+254023,88,5.822856255059999e+92,3.5355363696765e+26,18408.9958712095
132,Teide 1,380,4.32779856795e+92,1.27279309308354e+27,1055.7377929142917
133,2MASS J03510004-0052452,48,8.026099162379998e+92,4.2763154185611e+26,17344.816460336377
134,2MASS J03552337+1133437,29.8,1.5737449338e+92,4.4446742933076e+26,3148.1767844303713
